,id,original,translation
0,63644-1502808602679-31575," Now, fair Hippolyta, our nuptial hour   Draws on apace. Four happy days bring in   Another moon. ","Now, beautiful  Hippolyta , the hour of our wedding is speeding closer. In four joyful days there will be a new crescent moon, and we will marry."
1,63644-1502808610475-36508," But oh, methinks how slow   This old moon wanes! She lingers my desires,   Like to a stepdame or a dowager   Long withering out a young man’s revenue. "," But oh! The old moon seems to me to shrink away so slowly! It delays me from getting what I desire, just like an old rich widow will force her stepson to wait forever to receive his inheritance."
2,63646-1502808618665-38651, Four days will quickly steep themselves in night.   Four nights will quickly dream away the time. ,"Four days will quickly pass and turn to night. And each night, we will dream away the time."
3,63646-1502808624031-87418," And then the moon, like to a silver bow   New bent in heaven, shall behold the night   Of our solemnities. ", And soon the moon—like a silver bow newly bent into a curve in the sky—will look down on the night of our wedding celebration.
4,63649-1502818948268-5438," Go, Philostrate,   Stir up the Athenian youth to merriments. ","Go, Philostrate, get the young people of Athens in the mood to celebrate."
5,63649-1502818959773-98961, Awake the pert and nimble spirit of mirth. , Wake up the lively and swift spirit of fun.
6,63649-1502818966048-83377, Turn melancholy forth to funerals.   The pale companion is not for our pomp. , Send sadness out to funerals—that pale emotion has no place at our festivities.
7,63648-1502818980531-58653," Hippolyta, I wooed thee with my sword   And won thy love doing thee injuries. ","Hippolyta, I wooed with you by fighting against you, and won your love by injuring you."
8,63648-1502818988355-57749," But I will wed thee in another key,   With pomp, with triumph, and with reveling. "," But I’ll marry you in a different way—with splendid ceremonies, public festivities, and celebration."
9,b0d92ea3-064d-4730-5e50-a9b01e8c5dd4," Happy be Theseus, our renownèd duke. ","Joy to you, Theseus—our famous and distinguished duke!"
10,ee40d27d-99ca-41db-fe0d-b443c2a366ea," Thanks, good Egeus. What’s the news with thee? ","Thank you, dear Egeus. What’s going on with you?"
11,63652-1502819015528-62349," Full of vexation come I with complaint   Against my child, my daughter Hermia. ","I’ve come to you full of anger, to protest against the actions of my daughter, Hermia."
12,63652-1502819032146-27935," Stand forth, Demetrius.   My noble lord,   This man hath my consent to marry her. "," Step forward, Demetrius.  My noble lord Theseus, this man, Demetrius, has my blessing to marry her."
13,63652-1502819043918-25698," Stand forth, Lysander. And my gracious duke,   This man hath bewitched the bosom of my child.   Thou, thou, Lysander, thou hast given her rhymes,   And interchanged love tokens with my child. "," Step forward, Lysander. Yet, my gracious duke, this man, Lysander, has put a spell on my daughter’s heart. You, you, Lysander, you have given her poems, and exchanged tokens of love with my daughter."
14,63652-1502819061589-92399," Thou hast by moonlight at her window sung   With feigning voice verses of feigning love,   And stol'n the impression of her fantasy   With bracelets of thy hair, rings, gauds, conceits,   Knacks, trifles, nosegays, sweetmeats—messengers   Of strong prevailment in unhardened youth. "," You’ve come beneath her window in the moonlight and pretended to love her with your fake love songs. And you’ve stolen her fancy by giving her locks of your hair, rings, toys, trinkets, knickknacks, little presents, flowers, and candies—all of which will powerfully influence an innocent child."
15,63652-1502819075387-3367," With cunning hast thou filched my daughter’s heart,   Turned her obedience (which is due to me)   To stubborn harshness. "," You’ve sneaked and schemed to steal my daughter’s heart, transforming the obedience which she owes me into harsh stubbornness."
16,63652-1502819085213-41392," And, my gracious duke,   Be it so she will not here before your grace   Consent to marry with Demetrius,   I beg the ancient privilege of Athens. "," My gracious duke, if Hermia, standing here in front of you, won’t agree to marry Demetrius, then I demand my  traditional rights as a father in Athens ."
17,63652-1502819092243-91010," As she is mine, I may dispose of her—   Which shall be either to this gentleman   Or to her death—according to our law   Immediately provided in that case. "," Since she belongs to me, I can do what I want with her, as the law expressly states for just such a case as this: either she marries Demetrius, or she dies."
18,63653-1502819108843-5719," What say you, Hermia? Be advised, fair maid: ","And what do you say, Hermia? Take this advice, pretty girl:"
19,63653-1502819119127-62829," To you your father should be as a god,   One that composed your beauties, "," you should see your father as a god, since he’s the one who created your beauty."
20,63653-1502819125969-13212," To whom you are but as a form in wax,   By him imprinted and within his power   To leave the figure or disfigure it.   Demetrius is a worthy gentleman. "," To him, you’re like a figure that he sculpted out of wax, giving him the power to leave it as it is or to destroy it. Demetrius is a good man."
21,86eaaa91-26f0-d962-3367-12d2a1f7eaef, So is Lysander. ,So is Lysander.
22,b5599744-d468-b1a6-e50e-6a41ce4671b5," In himself he is. But in this kind, wanting your father’s voice, The other must be held the worthier. ","Yes he is. But in this situation, because he lacks your father's support, you must consider Demetrius to be better."
23,e4d6d414-d2c3-c9da-deb4-a58fc617cfbd, I would my father looked but with my eyes. ,I wish my father could look at them through my eyes.
24,0648ddf2-0c65-3172-f2f4-0be7e06529d4, Rather your eyes must with his judgment look. ,"Instead, your view of them must be influenced by your father's wishes."
25,63658-1502819146020-62347," I do entreat your grace to pardon me.   I know not by what power I am made bold   Nor how it may concern my modesty   In such a presence here to plead my thoughts, ","I beg  your Grace  to forgive me. I don’t know what is making me bold enough to do this, or even how speaking my thoughts to such an important person as you might harm my reputation for modesty."
26,63658-1502819150861-52864," But I beseech your grace that I may know   The worst that may befall me in this case,   If I refuse to wed Demetrius. ",But I beg you to explain to me the worst thing that could happen to me in this situation if I refuse to marry Demetrius.
27,63659-1502819162584-58155," Either to die the death or to abjure   Forever the society of men.   Therefore, fair Hermia, question your desires. ","You’ll either be sentenced to death or to never again interact with another man. Therefore, beautiful Hermia, really think about what you want."
28,63659-1502819185867-79762, Know of your youth. Examine well your blood— ," Think about how young you are, and explore your feelings"
29,63659-1502819192210-77295," Whether, if you yield not to your father’s choice,   You can endure the livery of a nun,   For aye to be in shady cloister mewed,   To live a barren sister all your life,   Chanting faint hymns to the cold, fruitless moon. ","—if you do not give in to your father's wishes, will you be able to tolerate life wearing the robes of a nun, shut up in a dark convent, living your whole life without husband or children, chanting quietly to  Diana ."
30,63659-1502819211882-50928, Thrice-blessèd they that master so their blood   To undergo such maiden pilgrimage. , Those who can control their passions and remain virgins their whole lives are three times as blessed.
31,63659-1502819218115-90615," But earthlier happy is the rose distilled   Than that which, withering on the virgin thorn,   Grows, lives, and dies in single blessedness. "," But a married woman lives happier in this world than a virgin, who achieves the blessing of chastity but grows, lives, and withers to death as a flower on the stem."
32,63660-1502819352246-49875," So will I grow, so live, so die, my lord,   Ere I will yield my virgin patent up   Unto his lordship, ","That is how I will grow, live, and die, my lord. I will not give up the ownership of my virginity to my lord father."
33,63660-1502819358540-49409, whose unwishèd yoke   My soul consents not to give sovereignty. , My soul refuses to let him command me into the yoke of a marriage I do not want. 
